Place ID,Name,Latitude,Longitude,Type,Rating,Reviews,Freguesias
ChIJF8HlS6dlJA0RuKrWtOXA_Pk,Atlantic Hostel,41.1585855,-8.632254099999999,"['lodging', 'point_of_interest', 'establishment']",No rating,0,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória"
ChIJz0Pm3ABlJA0R7UBFROy6XsM,Casa da Música,41.15888099999999,-8.630696000000002,"['tourist_attraction', 'point_of_interest', 'establishment']",4.6,18948,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória"
ChIJG9Q8FQ9lJA0RxnpeimcAhmI,Apartamentos Porto Caseiro,41.1515151,-8.6284514,"['lodging', 'point_of_interest', 'establishment']",5,1,Lordelo do Ouro e Massarelos
ChIJrQKzQahlJA0R6cfwBJmlYxw,Boavista,41.1595092,-8.625570300000001,"['sublocality_level_1', 'sublocality', 'political']",No rating,0,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória"
ChIJX3CSEwZlJA0RBek3h539Slg,Opah,41.1539633,-8.6259396,"['lodging', 'point_of_interest', 'establishment']",3.3,3,Lordelo do Ouro e Massarelos
ChIJe-23XgdlJA0RLCBQZ26BCes,Carolina M Apt in front of metro,41.1580654,-8.6226492,"['lodging', 'point_of_interest', 'establishment']",4.9,26,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória"
ChIJWaGjNqFlJA0Rms8b99eqZ_g,Domus Duorum,41.1610412,-8.632935699999999,"['lodging', 'point_of_interest', 'establishment']",4.9,50,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória"
ChIJj7a756hlJA0RHg8PwctSM6U,Boavista - Casa da Música Flat,41.1617883,-8.6248907,"['lodging', 'point_of_interest', 'establishment']",4.3,17,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória"
ChIJm2lJwKBlJA0RhlXeL-b2Vt0,Boavista Eco-Luxury House,41.1589324,-8.633839499999999,"['lodging', 'point_of_interest', 'establishment']",4.5,28,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória"
ChIJVYb1daZlJA0RnoJGWoEWt28,THE HOSTEL PORTO,41.1628511,-8.6287168,"['lodging', 'point_of_interest', 'establishment']",2.6,5,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória"
